dyn,ip,eax,ecx,[i],[a],[b],[sum],[d],result
2,20794883,3435973836,0,0,0,0,0,
3,20794887,3435973836,0,0,0,0,0,0,1
4,20794889,3435973836,0,0,0,0,0,0,1
7,19746323,0,1,0,1,0,0,0,1
8,20794902,0,1,0,1,0,0,0,1
9,20794906,0,1,0,1,0,0,0,1
10,20794912,0,1,0,1,1,0,0,1
11,20794915,1,1,0,1,1,0,0,1
12,20794921,2,1,0,1,1,0,0,1
13,20794927,2,1,0,1,1,0,2,1
14,20794930,1,1,0,1,1,0,2,1
15,20794936,2,1,0,1,1,0,2,1
16,20794939,2,1,0,1,1,2,2,1
17,20794942,0,1,0,1,1,2,2,1
18,20794945,1,1,0,1,1,2,2,1
19,20794948,1,1,1,1,1,2,2,1
21,20794883,3435973836,0,0,0,0,0,0,1
22,20794887,3435973836,0,0,0,0,0,0,1
23,20794889,1,1,1,1,1,2,2,1
26,19746323,1,2,1,2,1,2,2,0
27,20794902,1,2,1,2,1,2,2,0
28,20794906,1,2,1,2,1,2,2,0
29,20794912,1,2,1,2,2,2,2,0
30,20794915,2,2,1,2,2,2,2,0
31,20794921,4,2,1,2,2,2,2,0
32,20794927,4,2,1,2,2,2,4,0
33,20794930,2,2,1,2,2,2,4,0
34,20794936,4,2,1,2,2,2,4,0
35,20794939,4,2,1,2,2,4,4,0
36,20794942,1,2,1,2,2,4,4,0
37,20794945,2,2,1,2,2,4,4,0
38,20794948,2,2,2,2,2,4,4,0
