,Unnamed: 0,dyn,ip_x,REG_RDI,REG_RSI,REG_RBP,REG_RSP,REG_RDX,REG_RCX,REG_RAX,REG_RFLAGS,REG_RIP,memread_addr_1,read_size_1,mem_val_1,displacement_1,base_reg_1,index_reg_1,scale_1,memwrite_addr,read_size,mem_val,displacement,base_reg,index_reg,scale, prop_his,num,ip_y,reg,left,right,result
0,0,683,4199151,546,1.8446744073709552e+19,140731406239840,140731406239808,25211154,139698204554752.0,4294967052.0,646,4199151,0,0,0,0,0,0,0,140731406239820,4,4294967051,4294967276,5,0,1,6144,1395637,4199151,10,683,683,3
1,1,701,4199097,546,1.8446744073709552e+19,140731406239840,140731406239808,25211154,139698204554752.0,20.0,663,4199097,0,0,0,0,0,0,0,140731406239800,8,4199102,0,6,0,1,16,2008930,4199097,4,681,701,4
2,2,1145,4199140,256,1.8446744073709552e+19,140731406239840,140731406239808,25211154,139698204554752.0,0.0,514,4199140,0,0,0,0,0,0,0,25210924,1,0,0,8,4,1,944,463389,4199140,8,1144,1145,2
3,3,1588,4199019,66,1.8446744073709552e+19,140731406239840,140731406239808,25211154,139698204554752.0,20.0,646,4199019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,461219,4199019,101,1572,1588,4
4,4,1763,4199133,744,139698204563104.0,140731406239840,140731406239808,140731406600072,139698204554752.0,0.0,514,4199133,140731406600072,8,25211154,0,8,0,1,0,0,0,0,0,0,0,192,463428,4199133,8,1763,1763,2
5,5,2044,4199140,878,1.8446744073709552e+19,140731406239840,140731406239808,25211154,139698204554752.0,0.0,514,4199140,0,0,0,0,0,0,0,25210953,1,0,0,8,4,1,944,926479,4199140,9,2041,2044,3
6,6,2381,4199127,898,139698204563104.0,140731406239840,140731406239808,899,139698204554912.0,0.0,514,4199127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,1395855,4199127,10,2381,2381,3
7,7,3710,4199110,6,139698204563104.0,140731406239840,140731406239808,7,139698204554912.0,401.0,514,4199110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,455485,4199110,100,3708,3710,3
8,8,3759,4199023,158,1.8446744073709552e+19,140731406239840,140731406239808,25211154,139698204554752.0,20.0,642,4199023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,455501,4199023,100,3757,3759,3
9,9,3918,4199042,508,1.8446744073709552e+19,140731406239840,140731406239808,25211154,139698204554752.0,20.0,642,4199042,0,0,0,0,0,0,0,140731406239816,4,3235905536,4294967272,5,0,1,192,455559,4199042,100,3918,3918,3
10,10,3976,4199023,528,1.8446744073709552e+19,140731406239840,140731406239808,25211154,139698204554752.0,20.0,642,4199023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,455578,4199023,100,3974,3976,4
11,11,4264,4199089,382,1.8446744073709552e+19,140731406239840,140731406239808,25211154,139698204554752.0,20.0,663,4199089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,461565,4199089,101,4264,4264,4
12,12,5120,4199011,770,1.8446744073709552e+19,140731406239840,140731406239808,25211154,139698204554752.0,4294967195.0,646,4199011,140731406239820,4,4294967195,4294967276,0,0,1,0,0,0,0,0,0,0,1,455984,4199011,100,5109,5120,3
13,13,5153,4199019,716,1.8446744073709552e+19,140731406239840,140731406239808,25211154,139698204554752.0,20.0,642,4199019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1396214,4199019,10,5153,5153,4
14,14,5309,4199023,956,1.8446744073709552e+19,140731406239840,140731406239808,25211154,139698204554752.0,20.0,646,4199023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,456051,4199023,100,5307,5309,4
15,15,5629,4199093,190,1.8446744073709552e+19,140731406239840,140731406239808,25211154,139698204554752.0,20.0,663,4199093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,456166,4199093,100,5629,5629,3
16,16,5849,4199110,92,139698204563104.0,140731406239840,140731406239808,93,139698204554912.0,397.0,514,4199110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,461770,4199110,101,5849,5849,3
17,17,6524,4199054,1000,1.8446744073709552e+19,140731406239840,140731406239808,25211154,139698204554752.0,20.0,663,4199054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,784,1904468,4199054,25,6524,6524,2
18,18,6756,4199140,760,1.8446744073709552e+19,140731406239840,140731406239808,25211154,139698204554752.0,0.0,514,4199140,0,0,0,0,0,0,0,25211105,1,0,0,8,4,1,944,926631,4199140,9,6753,6756,4
19,19,7056,4199097,356,1.8446744073709552e+19,140731406239840,140731406239808,25211154,139698204554753.0,20.0,663,4199097,0,0,0,0,0,0,0,140731406239800,8,4199102,0,6,0,1,16,2009340,4199097,4,7036,7056,3
20,20,7159,4199140,590,1.8446744073709552e+19,140731406239840,140731406239808,25211154,139698204554755.0,3.0,514,4199140,0,0,0,0,0,0,0,25211118,1,0,0,8,4,1,944,2009347,4199140,4,7159,7159,3
21,21,7459,4199097,568,1.8446744073709552e+19,140731406239840,140731406239808,25211154,139698204554768.0,20.0,663,4199097,0,0,0,0,0,0,0,140731406239800,8,4199102,0,6,0,1,16,2009366,4199097,4,7439,7459,3
22,22,7715,4199133,176,139698204563104.0,140731406239840,140731406239808,140731406600072,139698204554796.0,44.0,514,4199133,140731406600072,8,25211154,0,8,0,1,0,0,0,0,0,0,0,192,463812,4199133,8,7715,7715,2
23,23,8081,4199110,942,139698204563104.0,140731406239840,140731406239808,943,139698204554912.0,263.0,514,4199110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,457036,4199110,100,8079,8081,3
24,24,8198,4199054,492,1.8446744073709552e+19,140731406239840,140731406239808,25211154,139698204554849.0,20.0,663,4199054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,784,1904576,4199054,25,8198,8198,2
25,25,8254,4199023,738,1.8446744073709552e+19,140731406239840,140731406239808,25211154,139698204554851.0,20.0,663,4199023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,462080,4199023,101,8254,8254,3
26,26,8409,4199023,532,4.0,140731406239840,140731406239808,25211154,139698204554848.0,20.0,643,4199023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,457151,4199023,100,8407,8409,4
27,27,8501,4199019,286,7.0,140731406239840,140731406239808,25211154,139698204554840.0,20.0,643,4199019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1396646,4199019,10,8501,8501,3
28,28,8895,4199140,912,20.0,140731406239840,140731406239808,25211154,139698204554788.0,36.0,514,4199140,0,0,0,0,0,0,0,25211174,1,0,0,8,4,1,944,2009459,4199140,4,8895,8895,3
29,29,9154,4199027,158,28.0,140731406239840,140731406239808,25211154,139698204554766.0,20.0,643,4199027,0,0,0,0,0,0,0,140731406239816,4,1096900509,4294967272,5,0,1,24,457416,4199027,100,9154,9154,4
30,30,9162,4199089,158,28.0,140731406239840,140731406239808,25211154,139698204554766.0,20.0,663,4199089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,462197,4199089,101,9162,9162,3
31,31,9608,4199140,532,43.0,140731406239840,140731406239808,25211154,139698204554752.0,0.0,514,4199140,0,0,0,0,0,0,0,25211197,1,0,0,8,4,1,944,926723,4199140,9,9605,9608,3
32,32,10066,4199114,794,139698204563104.0,140731406239840,140731406239808,795,139698204554912.0,261.0,514,4199114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,457741,4199114,100,10066,10066,4
33,33,10714,4199097,92,78.0,140731406239840,140731406239808,25211154,139698204554752.0,20.0,663,4199097,0,0,0,0,0,0,0,140731406239800,8,4199102,0,6,0,1,16,2009576,4199097,4,10694,10714,3
34,34,11528,4199133,670,139698204563104.0,140731406239840,140731406239808,140731406600072,139698204554752.0,0.0,514,4199133,140731406600072,8,25211154,0,8,0,1,0,0,0,0,0,0,0,192,464058,4199133,8,11528,11528,2
35,35,11563,4199146,476,106.0,140731406239840,140731406239808,25211154,139698204554752.0,106.0,514,4199146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3072,1397040,4199146,10,11563,11563,3
36,36,11736,4199093,346,111.0,140731406239840,140731406239808,25211154,139698204554752.0,20.0,663,4199093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,458333,4199093,100,11736,11736,4
37,37,12022,4199127,780,139698204563104.0,140731406239840,140731406239808,781,139698204554912.0,0.0,514,4199127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,1397099,4199127,10,12022,12022,4
38,38,12119,4199140,764,124.0,140731406239840,140731406239808,25211154,139698204554752.0,0.0,514,4199140,0,0,0,0,0,0,0,25211278,1,0,0,8,4,1,944,926804,4199140,9,12116,12119,3
39,39,12145,4199123,938,139698204563104.0,140731406239840,140731406239808,939,139698204554912.0,103.0,514,4199123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,458480,4199123,100,12145,12145,3
40,40,12173,4199110,538,139698204563104.0,140731406239840,140731406239808,539,139698204554912.0,171.0,514,4199110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,462586,4199110,101,12173,12173,3
41,41,12174,4199114,538,139698204563104.0,140731406239840,140731406239808,539,139698204554912.0,171.0,514,4199114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,458489,4199114,100,12174,12174,3
42,42,12326,4199097,382,130.0,140731406239840,140731406239808,25211154,139698204554752.0,20.0,663,4199097,0,0,0,0,0,0,0,140731406239800,8,4199102,0,6,0,1,16,423,4199097,3,12296,12326,4
