num dyn ip reg bit left right result
0 4 4196255 3 -2 0 4 3
1 13 4196288 3 -2 11 13 1
2 16 4196299 3 -2 15 16 2
3 28 4196345 3 -2 26 28 1
4 30 4196353 3 -2 29 30 4
5 32 4196359 3 -2 32 32 1
6 45 4196401 3 -2 43 45 1
7 55 4196436 3 -2 53 55 1
8 67 4196345 3 -2 65 67 1
9 69 4196353 3 -2 68 69 4
10 71 4196359 3 -2 71 71 1
11 84 4196401 3 -2 82 84 1
12 94 4196436 3 -2 92 94 1
13 106 4196345 3 -2 104 106 1
14 108 4196353 3 -2 107 108 4
15 110 4196359 3 -2 110 110 1
16 123 4196401 3 -2 121 123 1
17 133 4196436 3 -2 131 133 1
18 145 4196345 3 -2 143 145 1
19 147 4196353 3 -2 146 147 4
20 149 4196359 3 -2 149 149 1
21 162 4196401 3 -2 160 162 1
22 172 4196436 3 -2 170 172 1
23 184 4196345 3 -2 182 184 1
24 186 4196353 3 -2 185 186 4
25 188 4196359 3 -2 188 188 1
26 201 4196401 3 -2 199 201 1
27 211 4196436 3 -2 209 211 1
28 223 4196345 3 -2 221 223 1
29 225 4196353 3 -2 224 225 4
30 227 4196359 3 -2 227 227 1
31 240 4196401 3 -2 238 240 1
32 250 4196436 3 -2 248 250 1
33 262 4196345 3 -2 260 262 1
34 264 4196353 3 -2 263 264 4
35 266 4196359 3 -2 266 266 1
36 274 4196463 3 -2 272 274 2
37 277 4196472 3 -2 276 277 1
38 281 4196486 3 -2 279 281 2
39 284 4196499 3 -2 283 284 2
40 5 4196258 4 -2 0 5 2
41 8 4196270 4 -2 7 8 2
42 10 4196278 4 -2 9 10 1
43 11 4196281 4 -2 11 11 2
44 13 4196288 4 -2 13 13 1
45 16 4196299 4 -2 14 16 3
46 26 4196339 4 -2 24 26 1
47 32 4196359 4 -2 30 32 1
48 41 4196391 4 -2 40 41 1
49 45 4196401 4 -2 44 45 1
50 55 4196436 4 -2 54 55 1
51 65 4196339 4 -2 63 65 1
52 71 4196359 4 -2 69 71 1
53 80 4196391 4 -2 79 80 1
54 84 4196401 4 -2 83 84 1
55 94 4196436 4 -2 93 94 1
56 104 4196339 4 -2 102 104 1
57 110 4196359 4 -2 108 110 1
