dyn,ip,REG_RDI,REG_RSI,REG_RBP,REG_RSP,REG_RBX,REG_RDX,REG_RCX,REG_RAX,REG_SEG_CS,REG_SEG_SS,REG_SEG_DS,REG_SEG_ES,REG_SEG_FS,REG_SEG_GS,REG_RFLAGS,REG_RIP,memread_addr_1,read_size_1,mem_val_1,displacement_1,base_reg_1,index_reg_1,scale_1,memread_addr_2,read_size_2,mem_val_2,displacement_2,base_reg_2,index_reg_2,scale_2,memwrite_addr,read_size,mem_val,displacement,base_reg,index_reg,scale,
0,4196240,2,140724770315320,4196512,140724770315096,0,140724770315344,288,4196240,51,43,0,0,0,0,582,4196240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140724770315088,8,0,0,6,0,1,
1,4196241,2,140724770315320,4196512,140724770315088,0,140724770315344,288,4196240,51,43,0,0,0,0,582,4196241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,4196244,2,140724770315320,140724770315088,140724770315088,0,140724770315344,288,4196240,51,43,0,0,0,0,582,4196244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,4196248,2,140724770315320,140724770315088,140724770315008,0,140724770315344,288,4196240,51,43,0,0,0,0,518,4196248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140724770315084,4,0,4294967292,5,0,1,
4,4196255,2,140724770315320,140724770315088,140724770315008,0,140724770315344,288,4196240,51,43,0,0,0,0,518,4196255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140724770315080,4,0,4294967288,5,0,1,
5,4196258,2,140724770315320,140724770315088,140724770315008,0,140724770315344,288,4196240,51,43,0,0,0,0,518,4196258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140724770315072,8,140724770315312,4294967280,5,0,1,
6,4196262,2,140724770315320,140724770315088,140724770315008,0,140724770315344,288,4196240,51,43,0,0,0,0,518,4196262,140724770315072,8,140724770315320,4294967280,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,4196266,2,140724770315320,140724770315088,140724770315008,0,140724770315344,288,4196240,51,43,0,0,0,0,518,4196266,140724770315072,8,140724770315320,4294967280,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,4196270,2,140724770315320,140724770315088,140724770315008,0,140724770315344,288,140724770315320,51,43,0,0,0,0,518,4196270,140724770315328,8,140724770324037,8,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,4196274,2,140724770324037,140724770315088,140724770315008,0,140724770315344,288,140724770315320,51,43,0,0,0,0,518,4196274,140724770315328,8,140724770324037,8,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,4196278,2,140724770324037,140724770315088,140724770315008,0,140724770315344,288,140724770324037,51,43,0,0,0,0,518,4196278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,4196281,140724770324037,140724770324037,140724770315088,140724770315008,0,140724770315344,288,140724770324037,51,43,0,0,0,0,518,4196281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140724770315048,8,0,4294967256,5,0,1,
12,4196285,140724770324037,140724770324037,140724770315088,140724770315008,0,140724770315344,288,140724770324037,51,43,0,0,0,0,518,4196285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,4196288,140724770324037,140724770324037,140724770315088,140724770315008,0,140724770315344,288,140724770324037,51,43,0,0,0,0,518,4196288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140724770315000,8,0,0,6,0,1,
14,4196293,140724770324037,140724770324037,140724770315088,140724770315008,0,140724770315344,288,140724770324037,51,43,0,0,0,0,582,4196293,140724770315048,8,140724770324037,4294967256,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,4196297,140724770324037,140724770324037,140724770315088,140724770315008,0,140724770315344,288,140724770324037,51,43,0,0,0,0,582,4196297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,4196299,140724770324037,140724770324037,140724770315088,140724770315008,0,140724770315344,288,140724770323968,51,43,0,0,0,0,582,4196299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140724770315000,8,4196293,0,6,0,1,
17,4196304,140724770324038,6,140724770315088,140724770315008,0,0,140724770324037,6,51,43,0,0,0,0,514,4196304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140724770315060,4,0,4294967268,5,0,1,
18,4196307,140724770324038,6,140724770315088,140724770315008,0,0,140724770324037,6,51,43,0,0,0,0,514,4196307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140724770315064,4,4195984,4294967272,5,0,1,
