,dyn,ip,REG_RDI,REG_RSI,REG_RBP,REG_RSP,REG_RBX,REG_RDX,REG_RCX,REG_RAX,REG_SEG_CS,REG_SEG_SS,REG_SEG_DS,REG_SEG_ES,REG_SEG_FS,REG_SEG_GS,REG_RFLAGS,REG_RIP,memread_addr_1,read_size_1,mem_val_1,displacement_1,base_reg_1,index_reg_1,scale_1,memread_addr_2,read_size_2,mem_val_2,displacement_2,base_reg_2,index_reg_2,scale_2,memwrite_addr,read_size,mem_val,displacement,base_reg,index_reg,scale,Unnamed: 39,num,dyn,ip,reg,bit,left,right,result
0,0,4196240,2,140724770315320,4196512,140724770315096,0,140724770315344,288,4196240,51,43,0,0,0,0,582,4196240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140724770315088,8,0,0,6,0,1,,0,4,4196255,3,-2,0,4,3
1,1,4196241,2,140724770315320,4196512,140724770315088,0,140724770315344,288,4196240,51,43,0,0,0,0,582,4196241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,13,4196288,3,-2,11,13,1
2,2,4196244,2,140724770315320,140724770315088,140724770315088,0,140724770315344,288,4196240,51,43,0,0,0,0,582,4196244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,16,4196299,3,-2,15,16,2
3,3,4196248,2,140724770315320,140724770315088,140724770315008,0,140724770315344,288,4196240,51,43,0,0,0,0,518,4196248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140724770315084,4,0,4294967292,5,0,1,,3,28,4196345,3,-2,26,28,1
4,4,4196255,2,140724770315320,140724770315088,140724770315008,0,140724770315344,288,4196240,51,43,0,0,0,0,518,4196255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140724770315080,4,0,4294967288,5,0,1,,4,30,4196353,3,-2,29,30,4
5,5,4196258,2,140724770315320,140724770315088,140724770315008,0,140724770315344,288,4196240,51,43,0,0,0,0,518,4196258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140724770315072,8,140724770315312,4294967280,5,0,1,,5,32,4196359,3,-2,32,32,1
6,6,4196262,2,140724770315320,140724770315088,140724770315008,0,140724770315344,288,4196240,51,43,0,0,0,0,518,4196262,140724770315072,8,140724770315320,4294967280,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,45,4196401,3,-2,43,45,1
7,7,4196266,2,140724770315320,140724770315088,140724770315008,0,140724770315344,288,4196240,51,43,0,0,0,0,518,4196266,140724770315072,8,140724770315320,4294967280,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,55,4196436,3,-2,53,55,1
8,8,4196270,2,140724770315320,140724770315088,140724770315008,0,140724770315344,288,140724770315320,51,43,0,0,0,0,518,4196270,140724770315328,8,140724770324037,8,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,67,4196345,3,-2,65,67,1
9,9,4196274,2,140724770324037,140724770315088,140724770315008,0,140724770315344,288,140724770315320,51,43,0,0,0,0,518,4196274,140724770315328,8,140724770324037,8,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,69,4196353,3,-2,68,69,4
10,10,4196278,2,140724770324037,140724770315088,140724770315008,0,140724770315344,288,140724770324037,51,43,0,0,0,0,518,4196278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,71,4196359,3,-2,71,71,1
11,11,4196281,140724770324037,140724770324037,140724770315088,140724770315008,0,140724770315344,288,140724770324037,51,43,0,0,0,0,518,4196281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140724770315048,8,0,4294967256,5,0,1,,11,84,4196401,3,-2,82,84,1
12,12,4196285,140724770324037,140724770324037,140724770315088,140724770315008,0,140724770315344,288,140724770324037,51,43,0,0,0,0,518,4196285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,94,4196436,3,-2,92,94,1
13,13,4196288,140724770324037,140724770324037,140724770315088,140724770315008,0,140724770315344,288,140724770324037,51,43,0,0,0,0,518,4196288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140724770315000,8,0,0,6,0,1,,13,106,4196345,3,-2,104,106,1
14,14,4196293,140724770324037,140724770324037,140724770315088,140724770315008,0,140724770315344,288,140724770324037,51,43,0,0,0,0,582,4196293,140724770315048,8,140724770324037,4294967256,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,108,4196353,3,-2,107,108,4
15,15,4196297,140724770324037,140724770324037,140724770315088,140724770315008,0,140724770315344,288,140724770324037,51,43,0,0,0,0,582,4196297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,110,4196359,3,-2,110,110,1
16,16,4196299,140724770324037,140724770324037,140724770315088,140724770315008,0,140724770315344,288,140724770323968,51,43,0,0,0,0,582,4196299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140724770315000,8,4196293,0,6,0,1,,16,123,4196401,3,-2,121,123,1
17,17,4196304,140724770324038,6,140724770315088,140724770315008,0,0,140724770324037,6,51,43,0,0,0,0,514,4196304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140724770315060,4,0,4294967268,5,0,1,,17,133,4196436,3,-2,131,133,1
18,18,4196307,140724770324038,6,140724770315088,140724770315008,0,0,140724770324037,6,51,43,0,0,0,0,514,4196307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140724770315064,4,4195984,4294967272,5,0,1,,18,145,4196345,3,-2,143,145,1
19,19,4196314,140724770324038,6,140724770315088,140724770315008,0,0,140724770324037,6,51,43,0,0,0,0,514,4196314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140724770315068,4,0,4294967276,5,0,1,,19,147,4196353,3,-2,146,147,4
20,20,4196321,140724770324038,6,140724770315088,140724770315008,0,0,140724770324037,6,51,43,0,0,0,0,514,4196321,140724770315068,4,1,4294967276,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,149,4196359,3,-2,149,149,1
21,21,4196324,140724770324038,6,140724770315088,140724770315008,0,0,140724770324037,1,51,43,0,0,0,0,514,4196324,140724770315068,4,1,4294967276,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,162,4196401,3,-2,160,162,1
22,22,4196327,140724770324038,6,140724770315088,140724770315008,0,0,1,1,51,43,0,0,0,0,514,4196327,140724770315060,4,6,4294967268,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,172,4196436,3,-2,170,172,1
23,23,4196330,140724770324038,6,140724770315088,140724770315008,0,6,1,1,51,43,0,0,0,0,514,4196330,140724770315060,4,6,4294967268,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,23,184,4196345,3,-2,182,184,1
24,24,4196333,140724770324038,6,140724770315088,140724770315008,0,6,1,1,51,43,0,0,0,0,514,4196333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,24,186,4196353,3,-2,185,186,4
25,25,4196335,140724770324038,6,140724770315088,140724770315008,0,6,1,1,51,43,0,0,0,0,659,4196335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,25,188,4196359,3,-2,188,188,1
26,26,4196339,140724770323969,6,140724770315088,140724770315008,0,6,1,1,51,43,0,0,0,0,659,4196339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,26,201,4196401,3,-2,199,201,1
